Name, Median Time, Min Time, Max Time, Median Frame Index, Min Frame Index, Max Frame Index, Min Depth, Max Depth, Total Time, Mean Time, Time Lower Quartile, Time Upper Quartile, Count Total, Count Median, Count Min, Count Max, Number of frames containing Marker, First Frame Index, Time Min Individual, Time Max Individual, Min Individual Frame, Max Individual Frame, Time at Median Frame
WaitForJobGroupID,0.08409999,0.0442,0.2373,996,1114,1017,4,8,27.9460000506951,0.09346488,0.0692,0.1068,2133,7,5,10,299,852,0.0003,0.1345,878,912,0.154
PreLateUpdate.DirectorUpdateAnimationBegin,0.0716,0.0409,0.2503,863,1123,885,2,2,25.1370998881757,0.08407057,0.0499,0.1007,299,1,1,1,299,852,0.0409,0.2503,1123,885,0.1596
Director.ProcessFrame,0.0614,0.0335,0.1945,1018,1123,912,3,3,21.4405999876326,0.0717077,0.0436,0.08570001,1689,5,5,9,299,852,0,0.1702,852,912,0.1406
Animators.Update,0.0599,0.0321,0.1919,922,1123,912,4,4,20.8185999346897,0.06962743,0.0424,0.0827,598,2,2,2,299,852,0.0128,0.1684,1123,912,0.1384
SceneCulling,0.0563,0.0451,0.2094,1133,1030,899,4,4,18.0405000001192,0.06033612,0.0531,0.064,299,1,1,1,299,852,0.0451,0.2094,1030,899,0.0493
RenderForward.RenderLoopJob,0.0497,0.041,0.1006,1012,1031,1139,6,6,15.971299983561,0.05341572,0.0469,0.0573,299,1,1,1,299,852,0.041,0.1006,1031,1139,0.0474
Profiler.ParseThreadData,0.0379,0.0017,0.3406,1081,1010,970,4,7,1.11990000354126,0.07999286,0.0094,0.0639,28,2,1,4,14,893,0.0012,0.3394,970,970,0
CullResults.CreateSharedRendererScene,0.0377,0.0327,0.1275,1078,970,958,3,3,12.7118999697268,0.04251472,0.0357,0.0427,299,1,1,1,299,852,0.0327,0.1275,970,958,0.0478
PreUpdate.SendMouseEvents,0.036,0.028,0.1425,1079,1136,918,2,2,13.1624000109732,0.04402141,0.0304,0.0483,299,1,1,1,299,852,0.028,0.1425,1136,918,0.0308
Shadows.RenderJob,0.0359,0.0313,0.156,995,1020,1103,7,7,11.7903000494698,0.03943244,0.0338,0.0411,1794,6,6,6,299,852,0.0004,0.1336,1039,1103,0.034
Monobehaviour.OnMouse_,0.0358,0.0278,0.1421,1079,1136,918,3,3,13.0817000083625,0.0437515,0.0302,0.0481,299,1,1,1,299,852,0.0278,0.1421,1136,918,0.0306
Shadows.RenderJobPoint,0.0346,0.0301,0.1542,1118,919,1103,8,8,11.3427000617376,0.03793545,0.0325,0.0398,1794,6,6,6,299,852,0.0003,0.1333,864,1103,0.0328
UnityEngine.InputLegacyModule.dll!UnityEngine::SendMouseEvents.DoSendMouseEvents(),0.0338,0.026,0.1369,1103,1136,918,4,4,12.2584999538958,0.04099833,0.0285,0.0452,299,1,1,1,299,852,0.026,0.1369,1136,918,0.0285
Director.PrepareFrame,0.0312,0.0199,0.1365,976,1048,1074,3,3,11.9174000016064,0.03985753,0.0244,0.0446,1689,5,5,9,299,852,0,0.1344,852,1074,0.0558
Shadows.PrepareShadowmap,0.0246,0.0193,0.1005,948,1023,1019,5,5,7.74869998730719,0.02591538,0.0218,0.0272,299,1,1,1,299,852,0.0193,0.1005,1023,1019,0.027
UpdateScreenManagerAndInput,0.023,0.0043,0.1989,853,1148,1065,2,2,9.77630001865327,0.03269666,0.0186,0.0339,299,1,1,1,299,852,0.0043,0.1989,1148,1065,0.024
PreLateUpdate.DirectorUpdateAnimationEnd,0.0225,0.0135,0.1157,981,1123,1017,2,2,8.26129998266697,0.02762977,0.0168,0.0321,299,1,1,1,299,852,0.0135,0.1157,1123,1017,0.0404
Animators.ProcessGraphJob,0.0202,0.0116,0.1415,1018,1048,912,5,5,7.69330001436174,0.0257301,0.0147,0.0289,299,1,1,1,299,852,0.0116,0.1415,1048,912,0.062
PrepareSceneNodes,0.0195,0.0158,0.0563,913,1037,899,5,5,6.18019997887313,0.02066956,0.0183,0.0209,299,1,1,1,299,852,0.0158,0.0563,1037,899,0.0179
Director.PrepareFrameJob,0.018,0.0127,0.0862,998,1048,871,5,5,6.61150001827627,0.02319825,0.0144,0.0246,285,1,1,1,285,852,0.0127,0.0862,1048,871,0.0414
BatchRenderer.RenderSingle,0.0179,0.0126,0.0397,1091,1031,912,7,7,5.47520006611012,0.01831171,0.0139,0.0198,5681,19,19,19,299,852,0.0005,0.0192,927,1126,0.0181
Semaphore.WaitForSignal,0.0178,0.0001,0.1655,983,912,981,3,9,8.04659998632269,0.02691171,0.011,0.0346,804,2,1,9,299,852,0,0.0834,923,977,0.0905
CullAllVisibleLights,0.0164,0.01,0.1026,1128,995,899,5,5,5.13049997668713,0.01715886,0.0143,0.018,299,1,1,1,299,852,0.01,0.1026,995,899,0.0158
BatchRenderer.Flush,0.0161,0.0141,0.0486,1008,1116,859,7,9,5.27800002042204,0.01765217,0.0154,0.019,1495,5,5,5,299,852,0.0009,0.0332,1053,859,0.0152
PostLateUpdate.UpdateAudio,0.0156,0.007900001,0.0954,918,904,928,2,2,5.96840000338852,0.0199612,0.011,0.0244,299,1,1,1,299,852,0.007900001,0.0954,904,928,0.0312
Camera.ImageEffects,0.0151,0.0131,0.07600001,903,1068,972,3,4,5.06160001491662,0.01692843,0.0144,0.017,598,2,2,2,299,852,0.0002,0.0758,852,972,0.0151
ExtractRenderNodeQueue,0.0145,0.0044,0.0524,979,1031,1139,5,7,4.26170000643469,0.01425318,0.0138,0.0153,550,2,1,2,299,852,0.0028,0.0439,1036,892,0.0049
UnityEngine.UIElementsModule.dll!UnityEngine.UIElements::UIElementsRuntimeUtility.RepaintOverlayPanels(),0.0137,0.012,0.0861,930,1028,1111,2,2,4.45010000932962,0.01488328,0.013,0.0151,299,1,1,1,299,852,0.012,0.0861,1028,1111,0.0132
Profiler.DerializeStats,0.0135,0.0135,0.0135,953,953,953,5,5,0.0135000003501773,0.0135,0.0135,0.0135,1,1,1,1,1,953,0.0135,0.0135,953,953,0
PhysX.ScScene.postBroadPhase2,0.0134,0.0035,0.0452,1134,977,918,4,4,1.07259999681264,0.01430133,0.0118,0.0157,76,1,1,2,75,855,0.0031,0.0452,899,918,0
AudioManager.Update,0.013,0.0067,0.0926,938,904,928,3,3,5.0729000181891,0.01696622,0.0092,0.0205,299,1,1,1,299,852,0.0067,0.0926,904,928,0.0267
Graphics.Blit,0.013,0.0112,0.07380001,953,1068,972,4,4,4.37070000823587,0.01461773,0.0125,0.0146,299,1,1,1,299,852,0.0112,0.07380001,1068,972,0.013
PostUpdateScreenManagerAndInput,0.0127,0.0056,0.1687,992,904,980,2,2,4.77190001681447,0.01595953,0.0086,0.0179,299,1,1,1,299,852,0.0056,0.1687,904,980,0.0327
Physics.FetchResults,0.0116,0.0081,0.0572,950,1065,985,3,3,1.44820000533946,0.01508542,0.0092,0.0167,97,1,1,2,96,852,0.0034,0.0572,899,985,0
AnimatorControllerPlayable.PrepareFrame,0.0111,0.007900001,0.06940001,1058,1143,871,6,6,4.24690003413707,0.0149014,0.0093,0.0158,285,1,1,1,285,852,0.007900001,0.06940001,1143,871,0.0275
PrepareUpdateRendererBoundingVolumes,0.011,0.0082,0.0446,953,1028,942,3,6,3.59630003309576,0.01202776,0.0101,0.013,1794,6,6,6,299,852,0.0003,0.033,865,942,0.0125
Animator.ProcessGraph,0.011,0.0063,0.1273,1011,1048,912,7,7,4.30370001075789,0.01526135,0.0081,0.0176,282,1,1,1,282,852,0.0063,0.1273,1048,912,0
AddLocalLights,0.0107,0.009699999,0.0135,966,946,955,7,7,0.16340000089258,0.01089333,0.01,0.0112,15,1,1,1,15,875,0.009699999,0.0135,946,955,0
UnityEngine.UIElementsModule.dll!UnityEngine.UIElements::UIElementsUtility.GetAllPanels(),0.0106,0.0094,0.077,1115,1024,906,3,3,3.41980000771582,0.01143746,0.0103,0.0116,299,1,1,1,299,852,0.0094,0.077,1024,906,0.0105
Update.ScriptRunDelayedTasks,0.0104,0.008,0.0691,887,1033,918,2,2,3.98290001600981,0.01332074,0.0089,0.0133,299,1,1,1,299,852,0.008,0.0691,1033,918,0.0113
Profiler.CollectAudioStats,0.0102,0.0078,0.0893,935,1144,1116,3,3,4.12220001488458,0.01378662,0.009,0.0157,598,2,2,2,299,852,0.0016,0.0863,928,1116,0.0086
PostLateUpdate.UpdateAllRenderers,0.0101,0.0076,0.06919999,1041,1049,1069,2,2,3.74220000486821,0.01251572,0.0086,0.0126,299,1,1,1,299,852,0.0076,0.06919999,1049,1069,0.013
PhysX.ScScene.destroyManagers,0.0099,0.005,0.0224,1028,956,1014,4,4,0.589600002858788,0.01091852,0.0087,0.0121,54,1,1,1,54,855,0.005,0.0224,956,1014,0
Physics.Simulate,0.0099,0.0077,0.0808,1132,1068,1011,3,3,1.27880000555888,0.01332083,0.009,0.0129,97,1,1,2,96,852,0.0047,0.0808,899,1011,0
Shadows.PrepareJob,0.0098,0.0093,0.0134,883,1150,1134,8,8,0.0855000009760261,0.0106875,0.0096,0.0118,8,1,1,1,8,883,0.0093,0.0134,1150,1134,0
UnityEngine.InputLegacyModule.dll!UnityEngine::SendMouseEvents.SendEvents(),0.0095,0.0085,0.1026,878,929,918,5,5,3.28959999512881,0.01100201,0.009,0.0108,897,3,3,3,299,852,0.002,0.0935,903,918,0.0088
CullSendEvents,0.0091,0.0064,0.0898,1068,1030,1139,5,5,3.61890000337735,0.01210334,0.0082,0.0114,299,1,1,1,299,852,0.0064,0.0898,1030,1139,0.0069
UnityEngine.IMGUIModule.dll!UnityEngine::GUIUtility.SetSkin(),0.009,0.0069,0.072,1059,1035,985,2,2,3.49390001641586,0.01168528,0.008,0.0117,299,1,1,1,299,852,0.0069,0.072,1035,985,0.0081
PhysX.ScScene.processLostContact2,0.0088,0.0045,0.022,960,1051,1132,4,4,0.513100003357977,0.009001754,0.0078,0.0098,57,1,1,1,57,852,0.0045,0.022,1051,1132,0
FrameEvents.NewInputBeforeRenderUpdate,0.0087,0.0066,0.0437,872,1005,1139,2,2,2.81040001101792,0.009399331,0.0083,0.0091,299,1,1,1,299,852,0.0066,0.0437,1005,1139,0.008
UnityEngine.IMGUIModule.dll!UnityEngine::GUI.DoSetSkin(),0.0085,0.0063,0.0701,854,955,985,3,3,3.28720003040507,0.01099398,0.0075,0.0111,299,1,1,1,299,852,0.0063,0.0701,955,985,0.0075
Animators.ProcessAnimationsJob,0.0085,0.0054,0.0606,964,1123,928,5,5,3.35490000061691,0.0112204,0.0067,0.0129,299,1,1,1,299,852,0.0054,0.0606,1123,928,0.0189
UnityEngine.CoreModule.dll!UnityEngine::UnitySynchronizationContext.ExecuteTasks(),0.0085,0.0067,0.0646,1116,929,918,3,3,3.27700000815094,0.01095987,0.0075,0.011,299,1,1,1,299,852,0.0067,0.0646,929,918,0.0094
PhysX.ScScene.updateDynamics,0.0082,0.0048,0.0424,1055,899,1024,4,4,0.376600002404302,0.01017838,0.0073,0.0104,37,1,1,1,37,889,0.0048,0.0424,899,1024,0
RenderForwardOpaque.Prepare,0.0082,0.0074,0.0265,1060,1025,981,5,5,2.74150003679097,0.009168897,0.007900001,0.0087,299,1,1,1,299,852,0.0074,0.0265,1025,981,0.0087
Camera.RenderSkybox,0.0082,0.007,0.3998,1124,1064,1014,4,4,3.0735000250861,0.01027926,0.0078,0.0091,299,1,1,1,299,852,0.007,0.3998,1064,1014,0.0075
Shadows.CullLocalLightShadowCasters,0.0081,0.007,0.0101,1049,1062,955,8,8,0.122700004372746,0.00818,0.0076,0.0086,15,1,1,1,15,875,0.007,0.0101,1062,955,0
PreUpdate.NewInputUpdate,0.0075,0.0046,0.091,1096,934,970,2,2,3.18889999715611,0.01066522,0.006,0.0113,299,1,1,1,299,852,0.0046,0.091,934,970,0.0072
PhysX.FinalizeUpdateTask,0.0069,0.0033,0.0349,1055,956,980,4,4,0.502300004009157,0.00851356,0.0062,0.0094,59,1,1,1,59,862,0.0033,0.0349,956,980,0
PhysX.ScScene.processLostContact,0.0068,0.0041,0.0163,1135,956,1028,4,4,0.496599998790771,0.00788254,0.0059,0.0092,64,1,1,2,63,852,0.0011,0.0163,899,1028,0
FixedUpdate.NewInputFixedUpdate,0.0067,0.0047,0.0606,909,1135,1021,2,2,0.880499992053956,0.009171875,0.0058,0.0092,97,1,1,2,96,852,0.0047,0.0606,1135,1021,0
UnityEngine.CoreModule.dll!UnityEngine.Experimental.Rendering::ScriptableRuntimeReflectionSystemWrapper.Internal_ScriptableRuntimeReflectionSystemWrapper_TickRealtimeProbes(),0.0064,0.0037,0.1426,959,1113,913,2,2,2.73479999834672,0.009146488,0.005,0.0093,299,1,1,1,299,852,0.0037,0.1426,1113,913,0.0083
PhysX.NpScene.execution,0.0063,0.0046,0.0808,982,889,1061,4,4,0.792600010056049,0.008615217,0.0055,0.0078,93,1,1,2,92,852,0.0029,0.0808,899,1061,0
Batch.DrawDynamic,0.0063,0.0052,0.0191,1113,1042,988,10,10,2.0919000194408,0.006996321,0.0059,0.0074,1196,4,4,4,299,852,0.0006,0.0157,858,988,0.0061
GUI.Repaint,0.0062,0.0049,0.0223,878,983,1111,2,2,1.97990001318976,0.006621739,0.0057,0.007,299,1,1,1,299,852,0.0049,0.0223,983,1111,0.0061
PhysX.ScScene.rigidBodyNarrowPhase,0.0062,0.0041,0.0271,1129,1077,982,4,4,0.627500000409782,0.008044872,0.0053,0.0091,79,1,1,2,78,852,0.0041,0.0271,1077,982,0
FinalizeUpdateRendererBoundingVolumes,0.0061,0.0049,0.0259,852,1126,1069,3,6,1.93800002383068,0.006481606,0.0056,0.0067,1794,6,6,6,299,852,0.0001,0.0212,862,1069,0.0071
PhysX.ScScene.islandGen,0.0061,0.0016,0.0208,1031,899,896,4,4,0.463300000876188,0.006525352,0.0052,0.007,71,1,1,1,71,855,0.0016,0.0208,899,896,0
PostLateUpdate.MemoryFrameMaintenance,0.0059,0.0041,0.0309,1050,997,952,2,2,2.33090001018718,0.007795652,0.0051,0.0081,299,1,1,1,299,852,0.0041,0.0309,997,952,0.0201
Animators.WriteJob,0.0058,0.003,0.0607,905,1126,1027,5,5,2.36650000786176,0.007914715,0.0044,0.0085,897,3,3,3,299,852,0,0.0604,853,1027,0.0066
EarlyUpdate.ProcessRemoteInput,0.0057,0.0039,0.0805,892,1029,1126,2,2,2.41690000589006,0.008083277,0.0048,0.0077,299,1,1,1,299,852,0.0039,0.0805,1029,1126,0.0059
ProcessRemoteInput,0.0056,0.0038,0.0804,872,1029,1126,3,3,2.38690001610667,0.007982943,0.0048,0.0077,299,1,1,1,299,852,0.0038,0.0804,1029,1126,0.0059
Camera.FindStacks,0.0055,0.0042,0.0397,879,1065,933,2,2,1.86520000122255,0.006238127,0.0051,0.0061,598,2,2,2,299,852,0.0005,0.0381,871,933,0.0052
PhysX.ScScene.postBroadPhase3,0.0055,0.0007,0.08019999,963,899,1011,4,4,0.419499993091449,0.006554687,0.0047,0.0064,64,1,1,1,64,852,0.0007,0.08019999,899,1011,0
PostLateUpdate.PlayerUpdateCanvases,0.0055,0.0029,0.1191,1029,1005,953,2,2,2.76510000508279,0.009247826,0.0041,0.0089,299,1,1,1,299,852,0.0029,0.1191,1005,953,0.0636
PhysX.ScScene.postSolver,0.0052,0.003,0.0524,1081,956,1031,4,4,0.510500001488253,0.006544872,0.0044,0.007,79,1,1,2,78,852,0.003,0.0524,956,1031,0
PhysX.PostBroadPhaseStage2Task,0.0052,0.0026,0.0336,1083,977,884,4,4,0.419999996898696,0.007241379,0.0048,0.0071,58,1,1,1,58,855,0.0026,0.0336,977,884,0
Animators.PrepareFirstPass,0.0051,0.0032,0.0336,939,1033,1047,5,5,2.11090001347475,0.007059866,0.004,0.0078,299,1,1,1,299,852,0.0032,0.0336,1033,1047,0.0106
PrepareSceneNodesCombineJob,0.0051,0.0051,0.0051,939,939,939,7,7,0.00509999971836805,0.0051,0.0051,0.0051,1,1,1,1,1,939,0.0051,0.0051,939,939,0
Profiler.SerializeStats,0.0051,0.0042,0.07619999,1038,879,1044,3,3,1.93329999456182,0.006465886,0.0048,0.0058,299,1,1,1,299,852,0.0042,0.07619999,879,1044,0.0052
Render.TransparentGeometry,0.005,0.004,0.0106,1019,1068,986,4,4,1.5934999990277,0.005329432,0.0047,0.0055,299,1,1,1,299,852,0.004,0.0106,1068,986,0.0045
PhysX.ScScene.advanceStep,0.0049,0.0022,0.0564,1024,977,1008,4,4,0.371600006008521,0.006881482,0.0042,0.0066,55,1,1,2,54,855,0.0022,0.0564,977,1008,0
UnityEngine.CoreModule.dll!UnityEngine::Camera.GetAllCameras(),0.0049,0.0031,0.0637,1044,1039,1075,5,5,2.05300000263378,0.006866221,0.0038,0.0074,299,1,1,1,299,852,0.0031,0.0637,1039,1075,0.0037
PreLateUpdate.ParticleSystemBeginUpdateAll,0.0049,0.0031,0.0408,1100,1126,942,2,2,2.11360000143759,0.007068896,0.0041,0.0076,299,1,1,1,299,852,0.0031,0.0408,1126,942,0.0103
PhysX.AABBManager::postBroadPhaseStage3,0.0049,0.0016,0.0265,1106,977,1087,4,4,0.355300001334399,0.006233333,0.0042,0.0059,58,1,1,2,57,852,0.0015,0.0265,899,1087,0
PhysX.ScScene.broadPhase,0.0049,0.0033,0.0226,1116,1090,881,4,4,0.430700004566461,0.006242029,0.0041,0.0077,70,1,1,2,69,852,0.0033,0.0226,1090,881,0
PrepareSceneCullingParameters,0.0048,0.0043,0.0176,1138,891,1101,4,4,1.53000000212342,0.005117057,0.0046,0.0051,299,1,1,1,299,852,0.0043,0.0176,891,1101,0.0044
PhysX.ScScene.afterIntegration,0.0047,0.0032,0.0345,977,1140,1056,4,4,0.432200001552701,0.005686842,0.0043,0.0054,76,1,1,1,76,852,0.0032,0.0345,1140,1056,0
PhysX.ScScene.postBroadPhase,0.0047,0.0032,0.028,1028,1002,881,4,4,0.319800001336262,0.00615,0.0042,0.0062,53,1,1,2,52,852,0.0018,0.028,899,881,0
CoroutinesDelayedCalls,0.0046,0.0029,0.0413,873,1113,922,3,3,1.61190002039075,0.00539097,0.0039,0.0058,1293,4,4,6,299,852,0.0002,0.039,852,922,0.0048
PhysX.ScScene.finalizationPhase,0.0046,0.0025,0.0112,874,1119,1008,4,4,0.301100000273436,0.004856451,0.004,0.0053,63,1,1,2,62,852,0.0025,0.0112,1119,1008,0
PhysX.ScScene.secondPassNarrowPhase,0.0045,0.0013,0.0112,887,977,1147,4,4,0.272299998556264,0.004777193,0.0036,0.0055,57,1,1,1,57,852,0.0013,0.0112,977,1147,0
PhysX.ScScene.processLostContact3,0.0045,0.0008,0.0122,963,1109,899,4,4,0.265700000687502,0.005209804,0.0039,0.0065,52,1,1,2,51,852,0.0008,0.0103,1109,1056,0
UIEvents.WillRenderCanvases,0.0045,0.0023,0.1136,1051,1005,953,3,3,2.31480001099408,0.007741806,0.0033,0.0073,299,1,1,1,299,852,0.0023,0.1136,1005,953,0.0591
PhysX.ScScene.preRigidBodyNarrowPhase,0.0045,0.0031,0.0173,1071,1041,989,4,4,0.310299998149276,0.005641818,0.0038,0.0065,56,1,1,2,55,855,0.0031,0.0173,1041,989,0
Animators.ApplyOnAnimatorMove,0.0045,0.001,0.0276,1085,1136,885,5,5,1.80510000116192,0.006037124,0.0035,0.0075,299,1,1,1,299,852,0.001,0.0276,1136,885,0.018
DestroyCullResults,0.0045,0.0038,0.0131,1092,1046,1047,3,3,1.44000000716187,0.004816053,0.0043,0.0051,299,1,1,1,299,852,0.0038,0.0131,1046,1047,0.004
PhysX.NpScene.completion,0.0045,0.0032,0.0104,1116,977,1058,4,4,0.277000001398847,0.005036364,0.0039,0.0056,55,1,1,1,55,859,0.0032,0.0104,977,1058,0
PhysX.ScScene.postNarrowPhase,0.0045,0.0014,0.0119,1135,977,862,4,4,0.281599999172613,0.004693334,0.0038,0.0052,61,1,1,2,60,855,0.0014,0.0119,977,862,0
ParticleSystem.Update,0.0045,0.0029,0.0389,1144,1124,942,3,3,1.97020000522025,0.006589298,0.0038,0.0071,299,1,1,1,299,852,0.0029,0.0389,1124,942,0.0101
AudioProfiler.CaptureFrame,0.0044,0.0033,0.061,891,997,1133,4,4,1.9142000079155,0.006402007,0.0039,0.0062,299,1,1,1,299,852,0.0033,0.061,997,1133,0.0034
PhysX.ScScene.rigidBodySolver,0.0044,0.0016,0.029,902,899,1008,4,4,0.226500002900139,0.005392857,0.0038,0.0052,42,1,1,1,42,874,0.0016,0.029,899,1008,0
UnityEngine.CoreModule.dll!UnityEngine.Experimental.Rendering::BuiltinRuntimeReflectionSystem.TickRealtimeProbes(),0.0043,0.0022,0.1393,882,1113,913,3,3,1.84510001237504,0.006170903,0.0031,0.0063,299,1,1,1,299,852,0.0022,0.1393,1113,913,0.0052
Gfx.EndAsyncJobFrame,0.0042,0.0025,0.0375,1032,1028,981,2,4,1.63480001344578,0.005467559,0.0033,0.0064,897,3,3,3,299,852,0.0002,0.0361,906,981,0.0046
PhysX.ScScene.collideStep,0.0042,0.003,0.0196,924,973,989,4,4,0.479100003140047,0.005323333,0.0038,0.0059,91,1,1,2,90,852,0.0024,0.0196,899,989,0
PhysX.ScScene.postBroadPhaseCont,0.0042,0.001,0.0219,944,977,980,4,4,0.269300002488308,0.004987037,0.0035,0.0057,55,1,1,2,54,855,0.001,0.0219,977,980,0
EarlyUpdate.UpdateInputManager,0.0042,0.0036,0.0295,979,999,1076,2,2,1.68130000936799,0.005623077,0.004,0.0052,299,1,1,1,299,852,0.0036,0.0295,999,1076,0.0048
PhysX.ScScene.updateCCDMultiPass,0.0042,0.0031,0.0089,1044,1123,1081,4,4,0.196000001160428,0.004666667,0.0037,0.0049,42,1,1,1,42,859,0.0031,0.0089,1123,1081,0
FrameEvents.OnBeforeRenderCallback,0.0042,0.0033,0.0166,1079,1005,853,2,2,1.36210000677966,0.004555518,0.004,0.0045,299,1,1,1,299,852,0.0033,0.0166,1005,853,0.0044
UnityEngine.CoreModule.dll!UnityEngine::UnitySynchronizationContext.Exec(),0.0042,0.0032,0.0209,1139,1124,876,4,4,1.64150000782683,0.005489966,0.0038,0.0053,299,1,1,1,299,852,0.0032,0.0209,1124,876,0.0049
UGUI.Rendering.UpdateBatches,0.0041,0.0021,0.1123,898,919,953,4,4,2.15329999523237,0.007201672,0.0029,0.0067,299,1,1,1,299,852,0.0021,0.1123,919,953,0.0589
PreLateUpdate.EndGraphicsJobsAfterScriptUpdate,0.0041,0.0019,0.0817,951,1124,1101,2,2,1.97660001390614,0.006610702,0.003,0.0076,299,1,1,1,299,852,0.0019,0.0817,1124,1101,0.004
UnityEngine.IMGUIModule.dll!UnityEngine::GUISkin.MakeCurrent(),0.0041,0.003,0.0576,1012,1072,883,4,4,1.60920000751503,0.00538194,0.0037,0.0052,299,1,1,1,299,852,0.003,0.0576,1072,883,0.0036
Animator.ApplyOnAnimatorMove,0.0041,0.0006,0.0258,1024,1124,885,6,6,1.57650000345893,0.005272575,0.003,0.007,299,1,1,1,299,852,0.0006,0.0258,1124,885,0.0156
UnityEngine.CoreModule.dll!UnityEngine::Camera.GetAllCamerasImpl(),0.0041,0.0023,0.0627,1045,1039,1075,6,6,1.78970000869595,0.005985619,0.003,0.0065,299,1,1,1,299,852,0.0023,0.0627,1039,1075,0.0029
CullPerObjectLights,0.0041,0.0033,0.0283,1115,917,1079,4,7,1.44040000904351,0.004817391,0.0038,0.0054,335,1,1,2,299,852,0.0023,0.0283,1143,1079,0.0055
Shadows.ExtractCasters,0.004,0.0038,0.0067,898,1060,1134,9,9,0.036000000545755,0.0045,0.0038,0.0048,8,1,1,1,8,883,0.0038,0.0067,1060,1134,0
PhysX.ScScene.setEdgesConnectedTask,0.004,0.0006,0.0198,1058,871,1077,4,4,0.191500001121312,0.004074468,0.0013,0.0048,47,1,1,1,47,852,0.0006,0.0198,871,1077,0
Render.Mesh,0.003900002,0.002600001,0.0133,874,896,873,8,8,1.51610005489783,0.005070569,0.003500001,0.006599999,11362,38,38,38,299,852,0,0.0073,852,873,0.003100001
EndGraphicsJobs,0.0039,0.0018,0.0812,1038,1124,1101,2,3,1.8401000071899,0.006154181,0.0028,0.0072,897,3,3,3,299,852,0,0.0811,855,1101,0.0039
PostLateUpdate.UpdateCustomRenderTextures,0.0039,0.0024,0.0176,1131,1124,858,2,2,1.46430000290275,0.004897324,0.0032,0.0052,299,1,1,1,299,852,0.0024,0.0176,1124,858,0.0049
FixedUpdate.Physics2DFixedUpdate,0.0038,0.0024,0.0147,1147,859,980,2,2,0.450099998153746,0.004688542,0.0028,0.0047,97,1,1,2,96,852,0.0012,0.0147,899,980,0
EarlyUpdate.PlayerCleanupCachedData,0.0037,0.0024,0.2886,949,993,990,2,2,2.32909999252297,0.007789632,0.003,0.0066,299,1,1,1,299,852,0.0024,0.2886,993,990,0.0074
