Name, Median Time, Min Time, Max Time, Median Frame Index, Min Frame Index, Max Frame Index, Min Depth, Max Depth, Total Time, Mean Time, Time Lower Quartile, Time Upper Quartile, Count Total, Count Median, Count Min, Count Max, Number of frames containing Marker, First Frame Index, Time Min Individual, Time Max Individual, Min Individual Frame, Max Individual Frame, Time at Median Frame
PlayerEndOfFrame,0.0228,0.0228,0.0228,1314,1314,1314,2,2,0.0227999985218048,0.0228,0.0228,0.0228,1,1,1,1,1,1314,0.0228,0.0228,1314,1314,0.0228
AudioManager.Update,0.0227,0.0227,0.0227,1314,1314,1314,3,3,0.0227000005543232,0.0227,0.0227,0.0227,1,1,1,1,1,1314,0.0227,0.0227,1314,1314,0.0227
PreLateUpdate.DirectorUpdateAnimationEnd,0.0226,0.0226,0.0226,1314,1314,1314,2,2,0.0226000007241964,0.0226,0.0226,0.0226,1,1,1,1,1,1314,0.0226,0.0226,1314,1314,0.0226
DestroyCullResults,0.0224,0.0224,0.0224,1314,1314,1314,3,3,0.0223999992012978,0.0224,0.0224,0.0224,1,1,1,1,1,1314,0.0224,0.0224,1314,1314,0.0224
Animators.ProcessGraphJob,0.022,0.022,0.022,1314,1314,1314,5,5,0.0219999998807907,0.022,0.022,0.022,1,1,1,1,1,1314,0.022,0.022,1314,1314,0.022
UpdateScreenManagerAndInput,0.0203,0.0203,0.0203,1314,1314,1314,2,2,0.0202999990433455,0.0203,0.0203,0.0203,1,1,1,1,1,1314,0.0203,0.0203,1314,1314,0.0203
PrepareSceneNodes,0.0172,0.0172,0.0172,1314,1314,1314,5,5,0.0172000005841255,0.0172,0.0172,0.0172,1,1,1,1,1,1314,0.0172,0.0172,1314,1314,0.0172
PrepareUpdateRendererBoundingVolumes,0.0164,0.0164,0.0164,1314,1314,1314,3,6,0.0164000003132969,0.0164,0.0164,0.0164,6,6,6,6,1,1314,0.0009,0.008,1314,1314,0.0164
AnimatorControllerPlayable.PrepareFrame,0.0157,0.0157,0.0157,1314,1314,1314,6,6,0.0156999994069338,0.0157,0.0157,0.0157,1,1,1,1,1,1314,0.0157,0.0157,1314,1314,0.0157
PostLateUpdate.MemoryFrameMaintenance,0.0151,0.0151,0.0151,1314,1314,1314,2,2,0.0151000004261732,0.0151,0.0151,0.0151,1,1,1,1,1,1314,0.0151,0.0151,1314,1314,0.0151
CullAllVisibleLights,0.015,0.015,0.015,1314,1314,1314,5,5,0.0149999996647239,0.015,0.015,0.015,1,1,1,1,1,1314,0.015,0.015,1314,1314,0.015
PostLateUpdate.PlayerUpdateCanvases,0.0146,0.0146,0.0146,1314,1314,1314,2,2,0.0146000003442168,0.0146,0.0146,0.0146,1,1,1,1,1,1314,0.0146,0.0146,1314,1314,0.0146
UnityEngine.CoreModule.dll!UnityEngine.Experimental.Rendering::ScriptableRuntimeReflectionSystemWrapper.Internal_ScriptableRuntimeReflectionSystemWrapper_TickRealtimeProbes(),0.0138,0.0138,0.0138,1314,1314,1314,2,2,0.0137999998405576,0.0138,0.0138,0.0138,1,1,1,1,1,1314,0.0138,0.0138,1314,1314,0.0138
Animator.ProcessGraph,0.0136,0.0136,0.0136,1314,1314,1314,7,7,0.0136000001803041,0.0136,0.0136,0.0136,1,1,1,1,1,1314,0.0136,0.0136,1314,1314,0.0136
Render.TransparentGeometry,0.0133,0.0133,0.0133,1314,1314,1314,4,4,0.0132999997586012,0.0133,0.0133,0.0133,1,1,1,1,1,1314,0.0133,0.0133,1314,1314,0.0133
RenderForwardOpaque.Prepare,0.0128,0.0128,0.0128,1314,1314,1314,5,5,0.0128000006079674,0.0128,0.0128,0.0128,1,1,1,1,1,1314,0.0128,0.0128,1314,1314,0.0128
Animators.ProcessAnimationsJob,0.0122,0.0122,0.0122,1314,1314,1314,5,5,0.0121999997645617,0.0122,0.0122,0.0122,1,1,1,1,1,1314,0.0122,0.0122,1314,1314,0.0122
Update.ScriptRunDelayedTasks,0.0119,0.0119,0.0119,1314,1314,1314,2,2,0.0118999993428588,0.0119,0.0119,0.0119,1,1,1,1,1,1314,0.0119,0.0119,1314,1314,0.0119
updateScene.Invoke,0.0118,0.0118,0.0118,1314,1314,1314,2,2,0.0118000004440546,0.0118,0.0118,0.0118,1,1,1,1,1,1314,0.0118,0.0118,1314,1314,0.0118
PostLateUpdate.UpdateCustomRenderTextures,0.0113,0.0113,0.0113,1314,1314,1314,2,2,0.0113000003620982,0.0113,0.0113,0.0113,1,1,1,1,1,1314,0.0113,0.0113,1314,1314,0.0113
RenderLoop.CleanupNodeQueue,0.0107,0.0107,0.0107,1314,1314,1314,3,6,0.0107000002171844,0.0107,0.0107,0.0107,8,8,8,8,1,1314,0.0002,0.0038,1314,1314,0.0107
Gfx.EndAsyncJobFrame,0.0106,0.0106,0.0106,1314,1314,1314,2,4,0.0105999996885657,0.0106,0.0106,0.0106,3,3,3,3,1,1314,0.0008,0.0056,1314,1314,0.0106
Batch.DrawDynamic,0.0104,0.0104,0.0104,1314,1314,1314,10,10,0.0104000000283122,0.0104,0.0104,0.0104,2,2,2,2,1,1314,0.0016,0.0088,1314,1314,0.0104
CoroutinesDelayedCalls,0.0102,0.0102,0.0102,1314,1314,1314,3,3,0.0102000001934357,0.0102,0.0102,0.0102,4,4,4,4,1,1314,0.0003,0.0076,1314,1314,0.0102
UIEvents.WillRenderCanvases,0.01,0.01,0.01,1314,1314,1314,3,3,0.00999999977648258,0.01,0.01,0.01,1,1,1,1,1,1314,0.01,0.01,1314,1314,0.01
CullSendEvents,0.0098,0.0098,0.0098,1314,1314,1314,5,5,0.00980000011622906,0.0098,0.0098,0.0098,1,1,1,1,1,1314,0.0098,0.0098,1314,1314,0.0098
UnityEngine.InputLegacyModule.dll!UnityEngine::SendMouseEvents.SendEvents(),0.0098,0.0098,0.0098,1314,1314,1314,5,5,0.00979999988339841,0.0098,0.0098,0.0098,3,3,3,3,1,1314,0.0021,0.0055,1314,1314,0.0098
FinalizeUpdateRendererBoundingVolumes,0.009799999,0.009799999,0.009799999,1314,1314,1314,3,6,0.00979999976698309,0.0098,0.009799999,0.009799999,6,6,6,6,1,1314,0.0006,0.0051,1314,1314,0.009799999
Profiler.CollectAudioStats,0.0097,0.0097,0.0097,1314,1314,1314,3,3,0.00969999982044101,0.0097,0.0097,0.0097,2,2,2,2,1,1314,0.0022,0.0075,1314,1314,0.0097
PreLateUpdate.ParticleSystemBeginUpdateAll,0.009699999,0.009699999,0.009699999,1314,1314,1314,2,2,0.00969999935477972,0.009699999,0.009699999,0.009699999,1,1,1,1,1,1314,0.009699999,0.009699999,1314,1314,0.009699999
TextRendering.CollectGarbage,0.009699999,0.009699999,0.009699999,1314,1314,1314,3,3,0.00969999935477972,0.009699999,0.009699999,0.009699999,1,1,1,1,1,1314,0.009699999,0.009699999,1314,1314,0.009699999
UnityEngine.CoreModule.dll!UnityEngine::UnitySynchronizationContext.ExecuteTasks(),0.009699999,0.009699999,0.009699999,1314,1314,1314,3,3,0.00969999935477972,0.009699999,0.009699999,0.009699999,1,1,1,1,1,1314,0.009699999,0.009699999,1314,1314,0.009699999
UGUI.Rendering.UpdateBatches,0.0096,0.0096,0.0096,1314,1314,1314,4,4,0.00960000045597553,0.0096,0.0096,0.0096,1,1,1,1,1,1314,0.0096,0.0096,1314,1314,0.0096
mscorlib.dll!::Enumerator.MoveNext(),0.0093,0.0093,0.0093,1314,1314,1314,3,4,0.00930000003427267,0.0093,0.0093,0.0093,8,8,8,8,1,1314,0.0001,0.0045,1314,1314,0.0093
WaitForRenderJobs,0.0092,0.0092,0.0092,1314,1314,1314,3,5,0.00919999997131526,0.0092,0.0092,0.0092,3,3,3,3,1,1314,0.0007,0.0045,1314,1314,0.0092
CustomRenderTextures.Update,0.009,0.009,0.009,1314,1314,1314,3,3,0.00899999961256981,0.009,0.009,0.009,1,1,1,1,1,1314,0.009,0.009,1314,1314,0.009
FrameEvents.NewInputBeforeRenderUpdate,0.009,0.009,0.009,1314,1314,1314,2,2,0.00899999961256981,0.009,0.009,0.009,1,1,1,1,1,1314,0.009,0.009,1314,1314,0.009
UnityEngine.IMGUIModule.dll!UnityEngine::Event.Internal_MakeMasterEventCurrent(),0.0089,0.0089,0.0089,1314,1314,1314,3,3,0.00889999978244305,0.0089,0.0089,0.0089,1,1,1,1,1,1314,0.0089,0.0089,1314,1314,0.0089
ParticleSystem.Update,0.0088,0.0088,0.0088,1314,1314,1314,3,3,0.00879999995231628,0.0088,0.0088,0.0088,1,1,1,1,1,1314,0.0088,0.0088,1314,1314,0.0088
UnityEngine.CoreModule.dll!UnityEngine.Experimental.Rendering::BuiltinRuntimeReflectionSystem.TickRealtimeProbes(),0.0086,0.0086,0.0086,1314,1314,1314,3,3,0.00860000029206276,0.0086,0.0086,0.0086,1,1,1,1,1,1314,0.0086,0.0086,1314,1314,0.0086
UnityEngine.IMGUIModule.dll!UnityEngine::GUIUtility.SetSkin(),0.0085,0.0085,0.0085,1314,1314,1314,2,2,0.008500000461936,0.0085,0.0085,0.0085,1,1,1,1,1,1314,0.0085,0.0085,1314,1314,0.0085
ExtractRenderNodeQueue,0.0084,0.0084,0.0084,1314,1314,1314,5,7,0.00839999970048666,0.0084,0.0084,0.0084,2,2,2,2,1,1314,0.0033,0.0051,1314,1314,0.0084
Animators.ApplyOnAnimatorMove,0.0083,0.0083,0.0083,1314,1314,1314,5,5,0.0082999998703599,0.0083,0.0083,0.0083,1,1,1,1,1,1314,0.0083,0.0083,1314,1314,0.0083
BatchRenderer.RenderSingle,0.0082,0.0082,0.0082,1314,1314,1314,7,7,0.00819999992381781,0.0082,0.0082,0.0082,2,2,2,2,1,1314,0.0013,0.0069,1314,1314,0.0082
UnityEngine.IMGUIModule.dll!UnityEngine::GUI.DoSetSkin(),0.007900001,0.007900001,0.007900001,1314,1314,1314,3,3,0.00790000054985285,0.007900001,0.007900001,0.007900001,1,1,1,1,1,1314,0.007900001,0.007900001,1314,1314,0.007900001
Animator.ApplyOnAnimatorMove,0.0075,0.0075,0.0075,1314,1314,1314,6,6,0.00749999983236194,0.0075,0.0075,0.0075,1,1,1,1,1,1314,0.0075,0.0075,1314,1314,0.0075
UnityEngine.CoreModule.dll!UnityEngine.Experimental.Rendering::BuiltinRuntimeReflectionSystem.BuiltinUpdate(),0.007,0.007,0.007,1314,1314,1314,4,4,0.00700000021606684,0.007,0.007,0.007,1,1,1,1,1,1314,0.007,0.007,1314,1314,0.007
EndGraphicsJobs,0.0067,0.0067,0.0067,1314,1314,1314,2,3,0.00670000008540228,0.0067,0.0067,0.0067,3,3,3,3,1,1314,0.0001,0.006,1314,1314,0.0067
UnityEngine.UIElementsModule.dll!UnityEngine.UIElements::UIElementsUtility.GetPanelsIterator(),0.0067,0.0067,0.0067,1314,1314,1314,4,4,0.00669999979436398,0.0067,0.0067,0.0067,1,1,1,1,1,1314,0.0067,0.0067,1314,1314,0.0067
Cleanup Unused Cached Data,0.0066,0.0066,0.0066,1314,1314,1314,3,3,0.00659999996423721,0.0066,0.0066,0.0066,1,1,1,1,1,1314,0.0066,0.0066,1314,1314,0.0066
EarlyUpdate.PlayerCleanupCachedData,0.0066,0.0066,0.0066,1314,1314,1314,2,2,0.00659999996423721,0.0066,0.0066,0.0066,1,1,1,1,1,1314,0.0066,0.0066,1314,1314,0.0066
PlayerCleanupCachedData,0.0065,0.0065,0.0065,1314,1314,1314,4,4,0.00650000013411045,0.0065,0.0065,0.0065,1,1,1,1,1,1314,0.0065,0.0065,1314,1314,0.0065
PreLateUpdate.EndGraphicsJobsAfterScriptUpdate,0.0064,0.0064,0.0064,1314,1314,1314,2,2,0.00640000030398369,0.0064,0.0064,0.0064,1,1,1,1,1,1314,0.0064,0.0064,1314,1314,0.0064
PreLateUpdate.ScriptRunBehaviourLateUpdate,0.006,0.006,0.006,1314,1314,1314,2,2,0.00600000005215406,0.006,0.006,0.006,1,1,1,1,1,1314,0.006,0.006,1314,1314,0.006
PreUpdate.NewInputUpdate,0.0057,0.0057,0.0057,1314,1314,1314,2,2,0.0056999996304512,0.0057,0.0057,0.0057,1,1,1,1,1,1314,0.0057,0.0057,1314,1314,0.0057
Camera.FindStacks,0.0055,0.0055,0.0055,1314,1314,1314,2,2,0.00549999985378236,0.0055,0.0055,0.0055,2,2,2,2,1,1314,0.001,0.0045,1314,1314,0.0055
EarlyUpdate.ProcessRemoteInput,0.0055,0.0055,0.0055,1314,1314,1314,2,2,0.00549999997019768,0.0055,0.0055,0.0055,1,1,1,1,1,1314,0.0055,0.0055,1314,1314,0.0055
LateBehaviourUpdate,0.0054,0.0054,0.0054,1314,1314,1314,3,3,0.00540000014007092,0.0054,0.0054,0.0054,1,1,1,1,1,1314,0.0054,0.0054,1314,1314,0.0054
ProcessRemoteInput,0.0053,0.0053,0.0053,1314,1314,1314,3,3,0.00530000030994415,0.0053,0.0053,0.0053,1,1,1,1,1,1314,0.0053,0.0053,1314,1314,0.0053
RenderTexture.GarbageCollectTemporary,0.005,0.005,0.005,1314,1314,1314,2,5,0.00499999988824129,0.005,0.005,0.005,2,2,2,2,1,1314,0.0008,0.0042,1314,1314,0.005
AudioProfiler.CaptureFrame,0.0049,0.0049,0.0049,1314,1314,1314,4,4,0.00490000005811453,0.0049,0.0049,0.0049,1,1,1,1,1,1314,0.0049,0.0049,1314,1314,0.0049
ReflectionProbes.Update,0.0049,0.0049,0.0049,1314,1314,1314,5,5,0.00490000005811453,0.0049,0.0049,0.0049,1,1,1,1,1,1314,0.0049,0.0049,1314,1314,0.0049
FrameEvents.OnBeforeRenderCallback,0.0048,0.0048,0.0048,1314,1314,1314,2,2,0.00480000022798777,0.0048,0.0048,0.0048,1,1,1,1,1,1314,0.0048,0.0048,1314,1314,0.0048
UnityEngine.CoreModule.dll!UnityEngine::UnitySynchronizationContext.Exec(),0.0048,0.0048,0.0048,1314,1314,1314,4,4,0.00480000022798777,0.0048,0.0048,0.0048,1,1,1,1,1,1314,0.0048,0.0048,1314,1314,0.0048
Animator.ProcessAnimations,0.0047,0.0047,0.0047,1314,1314,1314,7,7,0.00469999993219972,0.0047,0.0047,0.0047,1,1,1,1,1,1314,0.0047,0.0047,1314,1314,0.0047
CullPerObjectLights,0.0047,0.0047,0.0047,1314,1314,1314,4,4,0.00469999993219972,0.0047,0.0047,0.0047,1,1,1,1,1,1314,0.0047,0.0047,1314,1314,0.0047
CleanUp.TextRenderingGarbageCollect,0.0046,0.0046,0.0046,1314,1314,1314,5,5,0.00460000010207295,0.0046,0.0046,0.0046,1,1,1,1,1,1314,0.0046,0.0046,1314,1314,0.0046
Shadows.CullingCallbacks,0.0046,0.0046,0.0046,1314,1314,1314,6,6,0.00460000010207295,0.0046,0.0046,0.0046,1,1,1,1,1,1314,0.0046,0.0046,1314,1314,0.0046
PrepareSceneCullingParameters,0.0045,0.0045,0.0045,1314,1314,1314,4,4,0.0044999998062849,0.0045,0.0045,0.0045,1,1,1,1,1,1314,0.0045,0.0045,1314,1314,0.0045
Profiler.SerializeStats,0.0044,0.0044,0.0044,1314,1314,1314,3,3,0.00439999997615814,0.0044,0.0044,0.0044,1,1,1,1,1,1314,0.0044,0.0044,1314,1314,0.0044
UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.CleanupRenderPipeline(),0.0044,0.0044,0.0044,1314,1314,1314,2,2,0.00440000015078112,0.0044,0.0044,0.0044,3,3,3,3,1,1314,0.0005,0.0024,1314,1314,0.0044
Animators.WriteJob,0.0043,0.0043,0.0043,1314,1314,1314,5,5,0.00429999985499308,0.0043,0.0043,0.0043,3,3,3,3,1,1314,0,0.0042,1314,1314,0.0043
FindBrightestDirectionalLight,0.0042,0.0042,0.0042,1314,1314,1314,5,5,0.00419999985024333,0.0042,0.0042,0.0042,1,1,1,1,1,1314,0.0042,0.0042,1314,1314,0.0042
UnityEngine.CoreModule.dll!UnityEngine::Camera.GetAllCameras(),0.0041,0.0041,0.0041,1314,1314,1314,5,5,0.00410000002011657,0.0041,0.0041,0.0041,1,1,1,1,1,1314,0.0041,0.0041,1314,1314,0.0041
EarlyUpdate.UpdateInputManager,0.004,0.004,0.004,1314,1314,1314,2,2,0.00400000018998981,0.004,0.004,0.004,1,1,1,1,1,1314,0.004,0.004,1314,1314,0.004
SkinnedMeshPrepareDispatchUpdate,0.0039,0.0039,0.0039,1314,1314,1314,4,7,0.0039000001270324,0.0039,0.0039,0.0039,5,5,5,5,1,1314,0.0001,0.0027,1314,1314,0.0039
UGUI.Rendering.RenderOverlays,0.0039,0.0039,0.0039,1314,1314,1314,2,2,0.0039000001270324,0.0039,0.0039,0.0039,1,1,1,1,1,1314,0.0039,0.0039,1314,1314,0.0039
UnityEngine.IMGUIModule.dll!UnityEngine::GUISkin.MakeCurrent(),0.0039,0.0039,0.0039,1314,1314,1314,4,4,0.0039000001270324,0.0039,0.0039,0.0039,1,1,1,1,1,1314,0.0039,0.0039,1314,1314,0.0039
UnityEngine.UIElementsModule.dll!UnityEngine.UIElements::Panel.get_contextType(),0.0038,0.0038,0.0038,1314,1314,1314,4,4,0.00380000018049032,0.0038,0.0038,0.0038,6,6,6,6,1,1314,0.0002,0.0012,1314,1314,0.0038
Material.SetPassFast,0.0038,0.0038,0.0038,1314,1314,1314,5,5,0.00380000006407499,0.0038,0.0038,0.0038,1,1,1,1,1,1314,0.0038,0.0038,1314,1314,0.0038
Initialization.AsyncUploadTimeSlicedUpdate,0.0037,0.0037,0.0037,1314,1314,1314,2,2,0.00370000000111759,0.0037,0.0037,0.0037,1,1,1,1,1,1314,0.0037,0.0037,1314,1314,0.0037
mscorlib.dll!System.Threading::SynchronizationContext.get_Current(),0.0037,0.0037,0.0037,1314,1314,1314,4,4,0.00370000000111759,0.0037,0.0037,0.0037,1,1,1,1,1,1314,0.0037,0.0037,1314,1314,0.0037
afterCullingOutputReady.Invoke,0.0036,0.0036,0.0036,1314,1314,1314,6,6,0.00359999993816018,0.0036,0.0036,0.0036,2,2,2,2,1,1314,0.0015,0.0021,1314,1314,0.0036
UnityEngine.IMGUIModule.dll!UnityEngine::Event.set_displayIndex(),0.0035,0.0035,0.0035,1314,1314,1314,4,4,0.00350000010803342,0.0035,0.0035,0.0035,1,1,1,1,1,1314,0.0035,0.0035,1314,1314,0.0035
Renderers.OncePerFrameUpdate,0.0034,0.0034,0.0034,1314,1314,1314,3,3,0.00339999987045303,0.0034,0.0034,0.0034,2,2,2,2,1,1314,0.0003,0.0031,1314,1314,0.0034
MeshRendererPrepareDispatchUpdate,0.0033,0.0033,0.0033,1314,1314,1314,4,7,0.00329999998211861,0.0033,0.0033,0.0033,5,5,5,5,1,1314,0.0002,0.0018,1314,1314,0.0033
mscorlib.dll!System.Collections.Generic::List`1.GetEnumerator(),0.0033,0.0033,0.0033,1314,1314,1314,3,3,0.00329999998211861,0.0033,0.0033,0.0033,1,1,1,1,1,1314,0.0033,0.0033,1314,1314,0.0033
UnityEngine.CoreModule.dll!UnityEngine::Camera.GetAllCamerasImpl(),0.0033,0.0033,0.0033,1314,1314,1314,6,6,0.00329999998211861,0.0033,0.0033,0.0033,1,1,1,1,1,1314,0.0033,0.0033,1314,1314,0.0033
PreUpdate.AIUpdate,0.0031,0.0031,0.0031,1314,1314,1314,2,2,0.00309999985620379,0.0031,0.0031,0.0031,1,1,1,1,1,1314,0.0031,0.0031,1314,1314,0.0031
UnityEngine.CoreModule.dll!UnityEngine::Object.CompareBaseObjects(),0.003000001,0.003000001,0.003000001,1314,1314,1314,5,8,0.00300000008428469,0.003,0.003000001,0.003000001,15,15,15,15,1,1314,0,0.0015,1314,1314,0.003000001
UnityEngine.CoreModule.dll!UnityEngine::Object.op_Equality(),0.003,0.003,0.003,1314,1314,1314,5,7,0.00300000002607703,0.003,0.003,0.003,7,7,7,7,1,1314,0.0002,0.0018,1314,1314,0.003
